code,name,lot_size,stock_type,stock_child_type,stock_owner,option_type,strike_time,strike_price,suspension,listing_date,stock_id,delisting,index_option_type,main_contract,last_trade_time,exchange_type
SH.600986,浙文互联,100,STOCK,N/A,,N/A,,N/A,N/A,2004-04-26,53828826721754,False,N/A,False,,CN_SH
SH.600987,航民股份,100,STOCK,N/A,,N/A,,N/A,N/A,2004-08-09,54279798287835,False,N/A,False,,CN_SH
SH.600988,赤峰黄金,100,STOCK,N/A,,N/A,,N/A,N/A,2004-04-14,53777287114204,False,N/A,False,,CN_SH
SH.600989,宝丰能源,100,STOCK,N/A,,N/A,,N/A,N/A,2019-05-16,77339477700061,False,N/A,False,,CN_SH
SH.600990,四创电子,100,STOCK,N/A,,N/A,,N/A,N/A,2004-05-10,53888956263902,False,N/A,False,,CN_SH
SH.600992,贵绳股份,100,STOCK,N/A,,N/A,,N/A,N/A,2004-05-14,53906136133088,False,N/A,False,,CN_SH
SH.600993,马应龙,100,STOCK,N/A,,N/A,,N/A,N/A,2004-05-17,53919021034977,False,N/A,False,,CN_SH
SH.600995,南网储能,100,STOCK,N/A,,N/A,,N/A,N/A,2004-06-15,54043575086563,False,N/A,False,,CN_SH
SH.600996,贵广网络,100,STOCK,N/A,,N/A,,N/A,N/A,2016-12-26,1600996,False,N/A,False,,CN_SH
SH.600997,开滦股份,100,STOCK,N/A,,N/A,,N/A,N/A,2004-06-02,53987740511717,False,N/A,False,,CN_SH
SH.600998,九州通,100,STOCK,N/A,,N/A,,N/A,N/A,2010-11-02,64055143853542,False,N/A,False,,CN_SH
SH.600999,招商证券,100,STOCK,N/A,,N/A,,N/A,N/A,2009-11-17,62551905299943,False,N/A,False,,CN_SH
SH.601000,唐山港,100,STOCK,N/A,,N/A,,N/A,N/A,2010-07-05,63539747778024,False,N/A,False,,CN_SH
SH.601001,晋控煤业,100,STOCK,N/A,,N/A,,N/A,N/A,2006-06-23,57213260951017,False,N/A,False,,CN_SH
SH.601002,晋亿实业,100,STOCK,N/A,,N/A,,N/A,N/A,2007-01-26,58145268854250,False,N/A,False,,CN_SH
SH.601003,柳钢股份,100,STOCK,N/A,,N/A,,N/A,N/A,2007-02-27,58282707807723,False,N/A,False,,CN_SH
SH.601005,重庆钢铁,100,STOCK,N/A,,N/A,,N/A,N/A,2007-02-28,58287002775021,False,N/A,False,,CN_SH
SH.601006,大秦铁路,100,STOCK,N/A,,N/A,,N/A,N/A,2006-08-01,57380764675566,False,N/A,False,,CN_SH
SH.601007,金陵饭店,100,STOCK,N/A,,N/A,,N/A,N/A,2007-04-06,58445916564975,False,N/A,False,,CN_SH
SH.601008,连云港,100,STOCK,N/A,,N/A,,N/A,N/A,2007-04-26,58531815910896,False,N/A,False,,CN_SH
SH.601009,南京银行,100,STOCK,N/A,,N/A,,N/A,N/A,2007-07-19,58892593163761,False,N/A,False,,CN_SH
SH.601010,文峰股份,100,STOCK,N/A,,N/A,,N/A,N/A,2011-06-03,64969971887602,False,N/A,False,,CN_SH
